code|en|fr
af|Afrikaans|afrikaans
ar|Arabic|arabe
hy|Armenian|arménien
be|Belarusian|biélorusse
bg|Bulgarian|bulgare
ca|Catalan|catalan
zh|Chinese|chinois
cs|Czech|tchèque
da|Danish|danois
nl|Dutch|néerlandais
en|English|anglais
et|Estonian|estonien
fj|Fijian|fidjien
fi|Finnish|finnois
fr|French|français
ka|Georgian|géorgien
de|German|allemand
ga|Irish|irlandais
el|Greek|grec
ht|Haitian|haïtien
he|Hebrew|hébreu
hi|Hindi|hindi
hr|Croatian|croate
hu|Hungarian|hongrois
is|Icelandic|islandais
id|Indonesian|indonésien
it|Italian|italien
ja|Japanese|japonais
ko|Korean|coréen
lt|Lithuanian|lituanien
mk|Macedonian|macédonien
ms|Malay|malais
no|Norwegian|norvégien
fa|Persian|persan
pl|Polish|polonais
pt|Portuguese|portugais
ro|Romanian|roumain
ru|Russian|russe
sk|Slovak|slovaque
sl|Slovenian|slovène
es|Spanish|espagnol
sr|Serbian|serbe
sv|Swedish|suédois
th|Thai|thaï
tl|Tagalog|tagalog
tr|Turkish|turc
uk|Ukrainian|ukrainien
vi|Vietnamese|vietnamien
zh-hk|Hong Kong|Honh Kong